caliber,club,date,height,league,meta,person,place,position,positon,source,throws,type,weight,first,give,given,last,matrilineal,nick,nickname,suffix
,Eau Claire,1958,,Northern League,,mcconnell/HHDYJBC,,OF-SS,,mcconnell/McConnell,,playing,,Tommie,,Tommie Lee,Aaron,,,,
,Eau Claire,1959,,Northern League,,mcconnell/HHDYJBC,,2B,,mcconnell/McConnell,,playing,,Tommie,,Tommie Lee,Aaron,,,,
,Louisville,1960,,American Association,,mcconnell/HHDYJBC,,PH,,mcconnell/McConnell,,playing,,Tommie,,Tommie Lee,Aaron,,,,
,Cedar Rapids,1960,,Illinois-Indiana-Iowa League,,mcconnell/HHDYJBC,,1B,,mcconnell/McConnell,,playing,,Tommie,,Tommie Lee,Aaron,,,,
,Jacksonville,1960,,South Atlantic League,,mcconnell/HHDYJBC,,1B,,mcconnell/McConnell,,playing,,Tommie,,Tommie Lee,Aaron,,,,
,Austin,1961,,Texas League,,mcconnell/HHDYJBC,,1B,,mcconnell/McConnell,,playing,,Tommie,,Tommie Lee,Aaron,,,,
,Milwaukee,1962,,National League,,mcconnell/HHDYJBC,,1B-OF-2B-3B,,mcconnell/McConnell,,playing,,Tommie,,Tommie Lee,Aaron,,,,
,Milwaukee,1963,,National League,,mcconnell/HHDYJBC,,1B-OF-2B-3B,,mcconnell/McConnell,,playing,,Tommie,,Tommie Lee,Aaron,,,,
,Denver,1963,,Pacific Coast League,,mcconnell/HHDYJBC,,2B-1B,,mcconnell/McConnell,,playing,,Tommie,,Tommie Lee,Aaron,,,,
,Denver,1964,,Pacific Coast League,,mcconnell/HHDYJBC,,1B-2B-OF,,mcconnell/McConnell,,playing,,Tommie,,Tommie Lee,Aaron,,,,
,Atlanta,1965,,International League,,mcconnell/HHDYJBC,,2B-1B-OF-3B,,mcconnell/McConnell,,playing,,Tommie,,Tommie Lee,Aaron,,,,
,Milwaukee,1965,,National League,,mcconnell/HHDYJBC,,1B,,mcconnell/McConnell,,playing,,Tommie,,Tommie Lee,Aaron,,,,
,Richmond,1966,,International League,,mcconnell/HHDYJBC,,1B-OF-3B,,mcconnell/McConnell,,playing,,Tommie,,Tommie Lee,Aaron,,,,
,Richmond,1967,,International League,,mcconnell/HHDYJBC,,OF-1B-2B,,mcconnell/McConnell,,playing,,Tommie,,Tommie Lee,Aaron,,,,
,Atlanta,1968,,National League,,mcconnell/HHDYJBC,,OF-1B-3B,,mcconnell/McConnell,,playing,,Tommie,,Tommie Lee,Aaron,,,,
,Atlanta,1969,,National League,,mcconnell/HHDYJBC,,1B-OF,,mcconnell/McConnell,,playing,,Tommie,,Tommie Lee,Aaron,,,,
,Atlanta,1970,,National League,,mcconnell/HHDYJBC,,1B-OF,,mcconnell/McConnell,,playing,,Tommie,,Tommie Lee,Aaron,,,,
,Richmond,1971,,International League,,mcconnell/HHDYJBC,,3B-1B-OF,,mcconnell/McConnell,,playing,,Tommie,,Tommie Lee,Aaron,,,,
,Atlanta,1971,,National League,,mcconnell/HHDYJBC,,1B-3B,,mcconnell/McConnell,,playing,,Tommie,,Tommie Lee,Aaron,,,,
,Richmond,1972,,International League,,mcconnell/HHDYJBC,,1B-3B-OF,,mcconnell/McConnell,,playing,,Tommie,,Tommie Lee,Aaron,,,,
,Savannah,1973,,Southern League,,mcconnell/HHDYJBC,,1B,,mcconnell/McConnell,,playing,,Tommie,,Tommie Lee,Aaron,,,,
,Rome,1914,,Georgia-Alabama League,,blau/VHYDJQG,,,,blau/blau-20180715,,player,,,,,Aaron,,,,
,Winston-Salem,1911,,Carolina Association,,morris/MYQTJCB,,,,morris/1911CarolinaAssociation/TwinCityDailySentinel/3,,player,,Archie,,,Aaronson,,,,
,Waycross,1949,,Georgia-Florida League,,nemec/NLTJCDZ,,OF,,nemec/Nemec,,playing,,Ben,,Bernard E.,Abadie,,,,
,Thibodaux,1950,,Evangeline League,,nemec/NLTJCDZ,,OF,,nemec/Nemec,,playing,,Ben,,Bernard E.,Abadie,,,,
,Thibodaux,1951,,Evangeline League,,nemec/NLTJCDZ,,OF,,nemec/Nemec,,playing,,Ben,,Bernard E.,Abadie,,,,
,Miami Beach,1951,,Florida International League,,nemec/NLTJCDZ,,OF,,nemec/Nemec,,playing,,Ben,,Bernard E.,Abadie,,,,
,Henderson,1938,,East Texas League,,mcconnell/TDYVQRD,,OF,,mcconnell/McConnell,,playing,,Morry,,Morrison Harold,Abbott,,,,
,Tacoma,1939,,Western International League,,mcconnell/TDYVQRD,,OF,,mcconnell/McConnell,,playing,,Morry,,Morrison Harold,Abbott,,,,
,Tacoma,1940,,Western International League,,mcconnell/TDYVQRD,,OF,,mcconnell/McConnell,,playing,,Morry,,Morrison Harold,Abbott,,,,
,Tacoma,1941,,Western International League,,mcconnell/TDYVQRD,,OF,,mcconnell/McConnell,,playing,,Morry,,Morrison Harold,Abbott,,,,
,Tacoma,1942,,Western International League,,mcconnell/TDYVQRD,,OF,,mcconnell/McConnell,,playing,,Morry,,Morrison Harold,Abbott,,,,
,San Diego,1943,,Pacific Coast League,,mcconnell/TDYVQRD,,OF,,mcconnell/McConnell,,playing,,Morry,,Morrison Harold,Abbott,,,,
,San Diego,1944,,Pacific Coast League,,mcconnell/TDYVQRD,,OF,,mcconnell/McConnell,,playing,,Morry,,Morrison Harold,Abbott,,,,
,San Diego,1945,,Pacific Coast League,,mcconnell/TDYVQRD,,OF,,mcconnell/McConnell,,playing,,Morry,,Morrison Harold,Abbott,,,,
,Tacoma,1946,,Western International League,,mcconnell/TDYVQRD,,OF,,mcconnell/McConnell,,playing,,Morry,,Morrison Harold,Abbott,,,,
,St. Louis,1910,,National League,,blau/HDPWPGQ,,,,blau/blau-20180521,,player,,Ody,,,Abbott,,,,
,San Jose,1913,,California State League,,blau/RKRGRTQ,,,,blau/blau-20171001,,player,,Ody,,,Abbott,,,,
,Tacoma,1914,,Northwestern League,,blau/HDPWPGQ,,,,blau/blau-20180521,,player,,Ody,,,Abbott,,,,
,North Platte,1959,,Nebraska State League,,nemec/FYYZRFP,,OF,,nemec/Nemec,,playing,,James,,James Alfred,Abdella,,,,
,Batavia,1959,,New York-Pennsylvania League,,nemec/FYYZRFP,,OF,,nemec/Nemec,,playing,,James,,James Alfred,Abdella,,,,
,Selma,1960,,Alabama-Florida League,,nemec/FYYZRFP,,1B-OF,,nemec/Nemec,,playing,,James,,James Alfred,Abdella,,,,
,Burlington/Wilson,1961,,Carolina League,,nemec/FYYZRFP,,1B,,nemec/Nemec,,playing,,James,,James Alfred,Abdella,,,,
,Carlsbad,1961,,Sophomore League,,nemec/DVDPKVJ,,P,,nemec/Nemec,,playing,,Ed,,Edward Ronald,Abel,,,,
,St. Cloud,1962,,Northern League,,nemec/DVDPKVJ,,P,,nemec/Nemec,,playing,,Ed,,Edward Ronald,Abel,,,,
,San Antonio,1962,,Texas League,,nemec/DVDPKVJ,,P,,nemec/Nemec,,playing,,Ed,,Edward Ronald,Abel,,,,
,Harlan,1953,,Mountain States League,,nemec/GDNKNYN,,1B,,nemec/Nemec,,playing,,Joe,,Joe Ray,Abernethy,,,,
,Lincolnton/Statesville,1953,,Tar Heel League,,nemec/GDNKNYN,,SS-OF-1B,,nemec/Nemec,,playing,,Joe,,Joe Ray,Abernethy,,,,
,Oak Ridge,1954,,Mountain States League,,nemec/GDNKNYN,,SS,,nemec/Nemec,,playing,,Joe,,Joe Ray,Abernethy,,,,
,Erie,1955,,PONY League,,nemec/GDNKNYN,,SS,,nemec/Nemec,,playing,,Joe,,Joe Ray,Abernethy,,,,
,Missoula,1956,,Pioneer League,,nemec/GDNKNYN,,3B-1B-OF-P,,nemec/Nemec,,playing,,Joe,,Joe Ray,Abernethy,,,,
,Missoula,1957,,Pioneer League,,nemec/GDNKNYN,,1B-OF,,nemec/Nemec,,playing,,Joe,,Joe Ray,Abernethy,,,,
,Sanford,1959,,Florida State League,,nemec/GDNKNYN,,1B-2B-P,,nemec/Nemec,,playing,,Joe,,Joe Ray,Abernethy,,,,
,Missoula,1959,,Pioneer League,,nemec/GDNKNYN,,1B-2B-OF-3B,,nemec/Nemec,,playing,,Joe,,Joe Ray,Abernethy,,,,
,Wilson,1960,,Carolina League,,nemec/GDNKNYN,,1B,,nemec/Nemec,,playing,,Joe,,Joe Ray,Abernethy,,,,
,Hickory,1960,,Western Carolina League,,nemec/GDNKNYN,,1B-OF-P,,nemec/Nemec,,playing,,Joe,,Joe Ray,Abernethy,,,,
,Newton-Conover,1961,,Western Carolina League,,nemec/GDNKNYN,,OF-1B-3B-P,,nemec/Nemec,,playing,,Joe,,Joe Ray,Abernethy,,,,
,Shelby,1962,,Western Carolina League,,nemec/GDNKNYN,,OF-P,,nemec/Nemec,,playing,,Joe,,Joe Ray,Abernethy,,,,
,Statesville,1963,,Western Carolinas League,,nemec/GDNKNYN,,3B-P,,nemec/Nemec,,playing,,Joe,,Joe Ray,Abernethy,,,,
,Oakland,1937,,Pacific Coast League,,mcconnell/XBVVRVW,,SS,,mcconnell/McConnell,,playing,,Joseph,,Joseph Lawrence,Abreu,,,,
,Spokane,1937,,Western International League,,mcconnell/XBVVRVW,,SS-3B,,mcconnell/McConnell,,playing,,Joseph,,Joseph Lawrence,Abreu,,,,
,Oakland,1938,,Pacific Coast League,,mcconnell/XBVVRVW,,OF-3B-SS,,mcconnell/McConnell,,playing,,Joseph,,Joseph Lawrence,Abreu,,,,
,Oakland,1939,,Pacific Coast League,,mcconnell/XBVVRVW,,3B-OF,,mcconnell/McConnell,,playing,,Joseph,,Joseph Lawrence,Abreu,,,,
,Fort Worth,1940,,Texas League,,mcconnell/XBVVRVW,,OF-SS-3B,,mcconnell/McConnell,,playing,,Joseph,,Joseph Lawrence,Abreu,,,,
,Milwaukee,1941,,American Association,,mcconnell/XBVVRVW,,2B-3B,,mcconnell/McConnell,,playing,,Joseph,,Joseph Lawrence,Abreu,,,,
,Fort Worth,1941,,Texas League,,mcconnell/XBVVRVW,,3B,,mcconnell/McConnell,,playing,,Joseph,,Joseph Lawrence,Abreu,,,,
,Newark,1942,,International League,,mcconnell/XBVVRVW,,OF,,mcconnell/McConnell,,playing,,Joseph,,Joseph Lawrence,Abreu,,,,
,Cincinnati,1942,,National League,,mcconnell/XBVVRVW,,3B-2B,,mcconnell/McConnell,,playing,,Joseph,,Joseph Lawrence,Abreu,,,,
,Wellsville,1946,,Pennsylvania-Ontario-New York League,,mcconnell/XBVVRVW,,2B-3B,,mcconnell/McConnell,,playing,,Joseph,,Joseph Lawrence,Abreu,,,,
,Newnan,1947,,Georgia-Alabama League,,mcconnell/XBVVRVW,,2B,,mcconnell/McConnell,,playing,,Joseph,,Joseph Lawrence,Abreu,,,,
,Dayton,1947,,Ohio State League,,mcconnell/XBVVRVW,,OF,,mcconnell/McConnell,,playing,,Joseph,,Joseph Lawrence,Abreu,,,,
,Tampa,1948,,Florida International League,,mcconnell/XBVVRVW,,3B,,mcconnell/McConnell,,playing,,Joseph,,Joseph Lawrence,Abreu,,,,
,Santa Rosa,1949,,Far West League,,mcconnell/XBVVRVW,,3B,,mcconnell/McConnell,,playing,,Joseph,,Joseph Lawrence,Abreu,,,,
,Lockport,1943,,PONY League,,nemec/YTYKLFT,,3B,,nemec/Nemec,,playing,,Tom,,Thomas Joseph,Accardo,,,,
,Lockport,1944,,PONY League,,nemec/YTYKLFT,,3B,,nemec/Nemec,,playing,,Tom,,Thomas Joseph,Accardo,,,,
,Lockport,1945,,PONY League,,nemec/YTYKLFT,,OF,,nemec/Nemec,,playing,,Tom,,Thomas Joseph,Accardo,,,,
,Los Angeles,1945,,Pacific Coast League,,nemec/YTYKLFT,,3B,,nemec/Nemec,,playing,,Tom,,Thomas Joseph,Accardo,,,,
,Nashville,1945,,Southern Association,,nemec/YTYKLFT,,SS,,nemec/Nemec,,playing,,Tom,,Thomas Joseph,Accardo,,,,
,Shelby,1946,,Tri-State League,,nemec/YTYKLFT,,3B,,nemec/Nemec,,playing,,Tom,,Thomas Joseph,Accardo,,,,
,Hot Springs,1947,,Cotton States League,,nemec/YTYKLFT,,2B-SS,,nemec/Nemec,,playing,,Tom,,Thomas Joseph,Accardo,,,,
,Auburn,1948,,Border League,,nemec/YTYKLFT,,3B-2B,,nemec/Nemec,,playing,,Tom,,Thomas Joseph,Accardo,,,,
,Fall River,1948,,New England League,,nemec/YTYKLFT,,3B,,nemec/Nemec,,playing,,Tom,,Thomas Joseph,Accardo,,,,
,Auburn,1949,,Border League,,nemec/YTYKLFT,,OF-2B-3B,,nemec/Nemec,,playing,,Tom,,Thomas Joseph,Accardo,,,,
,Auburn,1950,,Border League,,nemec/YTYKLFT,,3B-2B,,nemec/Nemec,,playing,,Tom,,Thomas Joseph,Accardo,,,,
,Saginaw,1951,,Central League,,nemec/YTYKLFT,,3B-2B,,nemec/Nemec,,playing,,Tom,,Thomas Joseph,Accardo,,,,
,Norwich,1907,,Connecticut State League,,blau/FSFTMCY,,,,blau/blau-20170108,,player,,Victor,,,Accorsini,,,,
,Oakland,1932,,Pacific Coast League,,blau/RJBWXHW,,,,blau/blau-20170129,,player,,George,,,Ackerman,,,,
,Green Bay,1948,,Wisconsin State League,,nemec/XRZMHVD,,SS-3B,,nemec/Nemec,,playing,,Richard,,Richard John,Ackermann,,,,
,Green Bay,1949,,Wisconsin State League,,nemec/XRZMHVD,,SS-2B,,nemec/Nemec,,playing,,Richard,,Richard John,Ackermann,,,,
,New Castle,1950,,Middle Atlantic League,,nemec/XRZMHVD,,OF-3B-SS,,nemec/Nemec,,playing,,Richard,,Richard John,Ackermann,,,,
,Fayetteville,1953,,Carolina League,,nemec/XRZMHVD,,SS,,nemec/Nemec,,playing,,Richard,,Richard John,Ackermann,,,,
,Charlotte,1953,,Tri-State League,,nemec/XRZMHVD,,2B-3B-SS,,nemec/Nemec,,playing,,Richard,,Richard John,Ackermann,,,,
,Hagerstown,1954,,Piedmont League,,nemec/XRZMHVD,,SS-2B,,nemec/Nemec,,playing,,Richard,,Richard John,Ackermann,,,,
,Rock Hill,1954,,Tri-State League,,nemec/XRZMHVD,,SS,,nemec/Nemec,,playing,,Richard,,Richard John,Ackermann,,,,
,Jackson,1935,,East Dixie League,,mcconnell/PHDBQWY,,2B,,mcconnell/McConnell,,playing,,Bill,,Marion Danne,Adair,,,,
,Jackson,1936,,Cotton States League,,mcconnell/PHDBQWY,,SS,,mcconnell/McConnell,,playing,,Bill,,Marion Danne,Adair,,,,
,Winston-Salem,1937,,Piedmont League,,mcconnell/PHDBQWY,,SS,,mcconnell/McConnell,,playing,,Bill,,Marion Danne,Adair,,,,
,Knoxville,1937,,Southern Association,,mcconnell/PHDBQWY,,2B,,mcconnell/McConnell,,playing,,Bill,,Marion Danne,Adair,,,,
,Elmira,1938,,Eastern League,,mcconnell/PHDBQWY,,2B,,mcconnell/McConnell,,playing,,Bill,,Marion Danne,Adair,,,,
,Winston-Salem,1938,,Piedmont League,,mcconnell/PHDBQWY,,SS-2B,,mcconnell/McConnell,,playing,,Bill,,Marion Danne,Adair,,,,
,Rocky Mount,1939,,Piedmont League,,mcconnell/PHDBQWY,,SS,,mcconnell/McConnell,,playing,,Bill,,Marion Danne,Adair,,,,
,Montgomery,1940,,Southeastern League,,mcconnell/PHDBQWY,,2B,,mcconnell/McConnell,,playing,,Bill,,Marion Danne,Adair,,,,
,Montgomery,1941,,Southeastern League,,mcconnell/PHDBQWY,,2B,,mcconnell/McConnell,,playing,,Bill,,Marion Danne,Adair,,,,
,Memphis,1942,,Southern Association,,mcconnell/PHDBQWY,,2B,,mcconnell/McConnell,,playing,,Bill,,Marion Danne,Adair,,,,
,Memphis,1946,,Southern Association,,mcconnell/PHDBQWY,,2B,,mcconnell/McConnell,,playing,,Bill,,Marion Danne,Adair,,,,
,Jackson,1947,,Southeastern League,,mcconnell/PHDBQWY,,2B,,mcconnell/McConnell,,playing,,Bill,,Marion Danne,Adair,,,,
,Memphis,1947,,Southern Association,,mcconnell/PHDBQWY,,2B,,mcconnell/McConnell,,playing,,Bill,,Marion Danne,Adair,,,,
,Jackson,1948,,Southeastern League,,mcconnell/PHDBQWY,,2B,,mcconnell/McConnell,,playing,,Bill,,Marion Danne,Adair,,,,
,Owensboro,1949,,Kitty League,,mcconnell/PHDBQWY,,2B,,mcconnell/McConnell,,playing,,Bill,,Marion Danne,Adair,,,,
,Bluefield,1950,,Appalachian League,,mcconnell/PHDBQWY,,2B,,mcconnell/McConnell,,playing,,Bill,,Marion Danne,Adair,,,,
,Eau Claire,1951,,Northern League,,mcconnell/PHDBQWY,,2B,,mcconnell/McConnell,,playing,,Bill,,Marion Danne,Adair,,,,
,Eau Claire,1952,,Northern League,,mcconnell/PHDBQWY,,2B,,mcconnell/McConnell,,playing,,Bill,,Marion Danne,Adair,,,,
,El Dorado,1953,,Cotton States League,,mcconnell/PHDBQWY,,2B,,mcconnell/McConnell,,playing,,Bill,,Marion Danne,Adair,,,,
,El Dorado,1954,,Cotton States League,,mcconnell/PHDBQWY,,2B,,mcconnell/McConnell,,playing,,Bill,,Marion Danne,Adair,,,,
,Panama City,1955,,Alabama-Florida League,,mcconnell/PHDBQWY,,2B,,mcconnell/McConnell,,playing,,Bill,,Marion Danne,Adair,,,,
,Valdosta,1956,,Georgia-Florida League,,mcconnell/PHDBQWY,,2B,,mcconnell/McConnell,,playing,,Bill,,Marion Danne,Adair,,,,
,Trenton,1949,,Inter-State League,,nemec/XPWKLTY,,P,,nemec/Nemec,,playing,,Dick,,Richard Charles,Adair,,,,
,Sioux City,1950,,Western League,,nemec/XPWKLTY,,P,,nemec/Nemec,,playing,,Dick,,Richard Charles,Adair,,,,
,Nashville,1952,,Southern Association,,nemec/XPWKLTY,,P,,nemec/Nemec,,playing,,Dick,,Richard Charles,Adair,,,,
,Nashville,1953,,Southern Association,,nemec/XPWKLTY,,P,,nemec/Nemec,,playing,,Dick,,Richard Charles,Adair,,,,
,Sioux City,1954,,Western League,,nemec/XPWKLTY,,P,,nemec/Nemec,,playing,,Dick,,Richard Charles,Adair,,,,
,Andalusia-Opp,1954,,Alabama-Florida League,,nemec/CLJRLST,,2B,,nemec/Nemec,,playing,,John,,John Leon,Adair,,,,
,Vidalia,1954,,Georgia State League,,nemec/ZZSZHHV,,P,,nemec/Nemec,,playing,,Richard,,Richard D.,Adam,,Red,,
,Donalsonville,1955,,Alabama-Florida League,,nemec/ZZSZHHV,,P,,nemec/Nemec,,playing,,Richard,,Richard D.,Adam,,Red,,
,Vidalia,1955,,Georgia State League,,nemec/ZZSZHHV,,P,,nemec/Nemec,,playing,,Richard,,Richard D.,Adam,,Red,,
,St. Boniface,1915,,Northern League,,morris/XSLHKHS,,1B,,morris/1915Northern/GrandForksDailyHerald/27,,player,,Babe,,,Adams,,,,
,Rocky Mount,1915,,Virginia League,,morris/QXMVRMJ,,P,,morris/1915SouthAtlantic/ColumbiaRecord/62,,player,,Babe,,Milton,Adams,,,,
,Reading,1919,,International League,,mcconnell/TDTYYHG,,SS,,mcconnell/McConnell,,playing,,Earl,,Earl John,Adams,,Sparky,,
,Danville,1920,,Piedmont League,,mcconnell/TDTYYHG,,SS,,mcconnell/McConnell,,playing,,Earl,,Earl John,Adams,,Sparky,,
,Syracuse,1921,,International League,,mcconnell/TDTYYHG,,SS,,mcconnell/McConnell,,playing,,Earl,,Earl John,Adams,,Sparky,,
,Chicago,1922,,National League,,mcconnell/TDTYYHG,,2B,,mcconnell/McConnell,,playing,,Earl,,Earl John,Adams,,Sparky,,
,Wichita Falls,1922,,Texas League,,mcconnell/TDTYYHG,,3B,,mcconnell/McConnell,,playing,,Earl,,Earl John,Adams,,Sparky,,
,Chicago,1923,,National League,,mcconnell/TDTYYHG,,SS-OF,,mcconnell/McConnell,,playing,,Earl,,Earl John,Adams,,Sparky,,
,Chicago,1924,,National League,,mcconnell/TDTYYHG,,SS-2B,,mcconnell/McConnell,,playing,,Earl,,Earl John,Adams,,Sparky,,
,Chicago,1925,,National League,,mcconnell/TDTYYHG,,2B-SS,,mcconnell/McConnell,,playing,,Earl,,Earl John,Adams,,Sparky,,
,Chicago,1926,,National League,,mcconnell/TDTYYHG,,2B-3B-SS,,mcconnell/McConnell,,playing,,Earl,,Earl John,Adams,,Sparky,,
,Chicago,1927,,National League,,mcconnell/TDTYYHG,,2B-3B-SS,,mcconnell/McConnell,,playing,,Earl,,Earl John,Adams,,Sparky,,
,Pittsburgh,1928,,National League,,mcconnell/TDTYYHG,,2B-SS-OF,,mcconnell/McConnell,,playing,,Earl,,Earl John,Adams,,Sparky,,
,Pittsburgh,1929,,National League,,mcconnell/TDTYYHG,,SS-2B-3B-OF,,mcconnell/McConnell,,playing,,Earl,,Earl John,Adams,,Sparky,,
,St. Louis,1930,,National League,,mcconnell/TDTYYHG,,3B-2B-SS,,mcconnell/McConnell,,playing,,Earl,,Earl John,Adams,,Sparky,,
,St. Louis,1931,,National League,,mcconnell/TDTYYHG,,3B-SS,,mcconnell/McConnell,,playing,,Earl,,Earl John,Adams,,Sparky,,
,St. Louis,1932,,National League,,mcconnell/TDTYYHG,,3B,,mcconnell/McConnell,,playing,,Earl,,Earl John,Adams,,Sparky,,
,St. Louis/Cincinnati,1933,,National League,,mcconnell/TDTYYHG,,3B-SS,,mcconnell/McConnell,,playing,,Earl,,Earl John,Adams,,Sparky,,
,Cincinnati,1934,,National League,,mcconnell/TDTYYHG,,3B-2B,,mcconnell/McConnell,,playing,,Earl,,Earl John,Adams,,Sparky,,
,Columbus,1935,,American Association,,mcconnell/TDTYYHG,,2B-SS,,mcconnell/McConnell,,playing,,Earl,,Earl John,Adams,,Sparky,,
,Rochester,1935,,International League,,mcconnell/TDTYYHG,,3B-2B,,mcconnell/McConnell,,playing,,Earl,,Earl John,Adams,,Sparky,,
,Springfield,1935,,Western Association,,mcconnell/TMFBNDR,,3B,,mcconnell/McConnell,,playing,,Elvin,,Elvin Clark,Adams,,Buster,,
,Sacramento,1936,,Pacific Coast League,,mcconnell/TMFBNDR,,OF-3B,,mcconnell/McConnell,,playing,,Elvin,,Elvin Clark,Adams,,Buster,,
,Sacramento,1937,,Pacific Coast League,,mcconnell/TMFBNDR,,OF,,mcconnell/McConnell,,playing,,Elvin,,Elvin Clark,Adams,,Buster,,
,Sacramento,1938,,Pacific Coast League,,mcconnell/TMFBNDR,,OF,,mcconnell/McConnell,,playing,,Elvin,,Elvin Clark,Adams,,Buster,,
,Columbus,1939,,American Association,,mcconnell/TMFBNDR,,OF,,mcconnell/McConnell,,playing,,Elvin,,Elvin Clark,Adams,,Buster,,
,St. Louis,1939,,National League,,mcconnell/TMFBNDR,,OF,,mcconnell/McConnell,,playing,,Elvin,,Elvin Clark,Adams,,Buster,,
,Sacramento,1939,,Pacific Coast League,,mcconnell/TMFBNDR,,OF,,mcconnell/McConnell,,playing,,Elvin,,Elvin Clark,Adams,,Buster,,
,Rochester,1940,,International League,,mcconnell/TMFBNDR,,OF,,mcconnell/McConnell,,playing,,Elvin,,Elvin Clark,Adams,,Buster,,
,Sacramento,1941,,Pacific Coast League,,mcconnell/TMFBNDR,,OF,,mcconnell/McConnell,,playing,,Elvin,,Elvin Clark,Adams,,Buster,,
,Sacramento,1942,,Pacific Coast League,,mcconnell/TMFBNDR,,OF,,mcconnell/McConnell,,playing,,Elvin,,Elvin Clark,Adams,,Buster,,
,St. Louis/Philadelphia,1943,,National League,,mcconnell/TMFBNDR,,OF,,mcconnell/McConnell,,playing,,Elvin,,Elvin Clark,Adams,,Buster,,
,Philadelphia,1944,,National League,,mcconnell/TMFBNDR,,OF,,mcconnell/McConnell,,playing,,Elvin,,Elvin Clark,Adams,,Buster,,
,Philadelphia/St. Louis,1945,,National League,,mcconnell/TMFBNDR,,OF,,mcconnell/McConnell,,playing,,Elvin,,Elvin Clark,Adams,,Buster,,
,St. Louis,1946,,National League,,mcconnell/TMFBNDR,,OF,,mcconnell/McConnell,,playing,,Elvin,,Elvin Clark,Adams,,Buster,,
,Philadelphia,1947,,National League,,mcconnell/TMFBNDR,,OF,,mcconnell/McConnell,,playing,,Elvin,,Elvin Clark,Adams,,Buster,,
,San Diego,1948,,Pacific Coast League,,mcconnell/TMFBNDR,,OF,,mcconnell/McConnell,,playing,,Elvin,,Elvin Clark,Adams,,Buster,,
,San Diego,1949,,Pacific Coast League,,mcconnell/TMFBNDR,,OF,,mcconnell/McConnell,,playing,,Elvin,,Elvin Clark,Adams,,Buster,,
,San Diego,1950,,Pacific Coast League,,mcconnell/TMFBNDR,,OF,,mcconnell/McConnell,,playing,,Elvin,,Elvin Clark,Adams,,Buster,,
,San Diego/San Francisco,1951,,Pacific Coast League,,mcconnell/TMFBNDR,,OF,,mcconnell/McConnell,,playing,,Elvin,,Elvin Clark,Adams,,Buster,,
,Mount Vernon,1948,,Illinois State League,,nemec/WCKNXRQ,,C-3B,,nemec/Nemec,,playing,,Gene,,Elton Eugene,Adams,,,,
,Bluefield,1949,,Appalachian League,,nemec/WCKNXRQ,,,,nemec/Nemec,,playing,,Gene,,Elton Eugene,Adams,,,,
,Owensboro,1949,,Kitty League,,nemec/WCKNXRQ,,C,,nemec/Nemec,,playing,,Gene,,Elton Eugene,Adams,,,,
,Big Stone Gap,1949,,Mountain States League,,nemec/WCKNXRQ,,C-3B,,nemec/Nemec,,playing,,Gene,,Elton Eugene,Adams,,,,
,Big Stone Gap,1950,,Mountain States League,,nemec/WCKNXRQ,,C,,nemec/Nemec,,playing,,Gene,,Elton Eugene,Adams,,,,
,Madisonville,1947,,Kitty League,,nemec/YLSPBXM,,OF-P,,nemec/Nemec,,playing,,Herb,,Herbert Loren,Adams,,,,
,Chicago,1948,,American League,,nemec/YLSPBXM,,OF,,nemec/Nemec,,playing,,Herb,,Herbert Loren,Adams,,,,
,Hot Springs,1948,,Cotton States League,,nemec/YLSPBXM,,OF,,nemec/Nemec,,playing,,Herb,,Herbert Loren,Adams,,,,
,Chicago,1949,,American League,,nemec/YLSPBXM,,OF,,nemec/Nemec,,playing,,Herb,,Herbert Loren,Adams,,,,
,Memphis,1949,,Southern Association,,nemec/YLSPBXM,,OF,,nemec/Nemec,,playing,,Herb,,Herbert Loren,Adams,,,,
,Chicago,1950,,American League,,nemec/YLSPBXM,,OF,,nemec/Nemec,,playing,,Herb,,Herbert Loren,Adams,,,,
,Buffalo,1950,,International League,,nemec/YLSPBXM,,OF,,nemec/Nemec,,playing,,Herb,,Herbert Loren,Adams,,,,
,Indianapolis,1953,,American Association,,nemec/YLSPBXM,,OF,,nemec/Nemec,,playing,,Herb,,Herbert Loren,Adams,,,,
,Springfield,1953,,International League,,nemec/YLSPBXM,,OF,,nemec/Nemec,,playing,,Herb,,Herbert Loren,Adams,,,,
,Columbus,1954,,American Association,,nemec/YLSPBXM,,OF,,nemec/Nemec,,playing,,Herb,,Herbert Loren,Adams,,,,
,Los Angeles,1954,,Pacific Coast League,,nemec/YLSPBXM,,OF,,nemec/Nemec,,playing,,Herb,,Herbert Loren,Adams,,,,
,Columbus,1955,,International League,,nemec/YLSPBXM,,OF,,nemec/Nemec,,playing,,Herb,,Herbert Loren,Adams,,,,
,Houston,1955,,Texas League,,nemec/YLSPBXM,,OF,,nemec/Nemec,,playing,,Herb,,Herbert Loren,Adams,,,,
,Houston,1956,,Texas League,,nemec/YLSPBXM,,OF,,nemec/Nemec,,playing,,Herb,,Herbert Loren,Adams,,,,
,Houston,1957,,Texas League,,nemec/YLSPBXM,,OF,,nemec/Nemec,,playing,,Herb,,Herbert Loren,Adams,,,,
,Houston,1958,,Texas League,,nemec/YLSPBXM,,OF,,nemec/Nemec,,playing,,Herb,,Herbert Loren,Adams,,,,
,Mobile,1959,,Southern Association,,nemec/YLSPBXM,,OF,,nemec/Nemec,,playing,,Herb,,Herbert Loren,Adams,,,,
